rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
93,/games/boxart/3740960ccc.jpg,https://www.vgchartz.com/game/4534/tetris/?region=All,Tetris    ,GB,Nintendo  ,Bullet Proof Software  ,N/A  ,N/A  ,N/A  ,35.00m,N/A,N/A,N/A,N/A,N/A,31st Jul 89  ,N/A
94,/games/boxart/full_9251687AmericaFrontccc.jpg,https://www.vgchartz.com/game/226318/tom-clancys-ghost-recon/?region=All,Tom Clancy's Ghost Recon    ,Series,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,35.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 01  ,12th Mar 20
95,/games/boxart/full_9222919AmericaFrontccc.png,https://www.vgchartz.com/game/226079/football-manager/?region=All,Football Manager    ,Series,Sega  ,Sports Interactive  ,N/A  ,N/A  ,N/A  ,33.33m,N/A,N/A,N/A,N/A,N/A,05th Nov 04  ,07th Feb 20
96,/games/boxart/full_minecraft_1AmericaFront.png,https://www.vgchartz.com/game/47724/minecraft/?region=All,Minecraft    Read the review,PC,Mojang  ,Mojang AB  ,8.8  ,10.0  ,N/A  ,33.15m,N/A,N/A,N/A,N/A,N/A,10th May 10  ,05th Aug 18
97,/games/boxart/full_7295041AmericaFrontccc.jpg,https://www.vgchartz.com/game/24656/wii-sports-resort/?region=All,Wii Sports Resort    Read the review,Wii,Nintendo  ,Nintendo EAD  ,8.8  ,8.0  ,8.8  ,33.14m,N/A,N/A,N/A,N/A,N/A,26th Jul 09  ,N/A
98,/games/boxart/full_8891851AmericaFrontccc.jpg,https://www.vgchartz.com/game/226174/half-life/?region=All,Half-life    ,Series,Valve  ,Valve  ,N/A  ,N/A  ,N/A  ,33.10m,N/A,N/A,N/A,N/A,N/A,19th Nov 98  ,19th Feb 20
99,/games/boxart/full_370962AmericaFrontccc.jpg,https://www.vgchartz.com/game/231468/the-legend-of-zelda-breath-of-the-wild/?region=All,The Legend of Zelda: Breath of the Wild    ,All,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,32.85m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,07th Feb 23
100,/games/boxart/full_4779170AmericaFrontccc.png,https://www.vgchartz.com/game/227375/horizon/?region=All,Horizon    ,Series,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,32.70m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,24th Sep 20
101,/games/boxart/full_2846971AmericaFrontccc.jpg,https://www.vgchartz.com/game/226069/naruto-ultimate-ninja/?region=All,Naruto: Ultimate Ninja    ,Series,Bandai Namco Entertainment  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,32.52m,N/A,N/A,N/A,N/A,N/A,26th Jun 06  ,05th Feb 20
102,/games/boxart/full_8608465AmericaFrontccc.jpg,https://www.vgchartz.com/game/221289/super-smash-bros-ultimate/?region=All,Super Smash Bros. Ultimate    Read the review,NS,Nintendo  ,Bandai Namco Games  ,9.0  ,9.4  ,9.7  ,32.44m,N/A,N/A,N/A,N/A,N/A,07th Dec 18  ,02nd Oct 22
103,/games/boxart/full_3958597AmericaFrontccc.jpg,https://www.vgchartz.com/game/226310/saints-row/?region=All,Saints Row    ,Series,THQ  ,Volition  ,N/A  ,N/A  ,N/A  ,32.00m,N/A,N/A,N/A,N/A,N/A,29th Aug 06  ,10th Mar 20
104,/games/boxart/full_6442337AmericaFrontccc.png,https://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,Pokémon Red / Green / Blue Version    ,GB,Nintendo  ,Game Freak  ,N/A  ,9.4  ,N/A  ,31.38m,N/A,N/A,N/A,N/A,N/A,30th Sep 98  ,N/A
105,/games/boxart/full_4436858AmericaFrontccc.png,https://www.vgchartz.com/game/118753/the-legend-of-zelda-breath-of-the-wild/?region=All,The Legend of Zelda: Breath of the Wild    ,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,10.0  ,31.15m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17  ,19th Nov 18
106,/games/boxart/full_5904326AmericaFrontccc.jpg,https://www.vgchartz.com/game/226307/tony-hawks/?region=All,Tony Hawk's    ,Series,Activision  ,Neversoft  ,N/A  ,N/A  ,N/A  ,31.12m,N/A,N/A,N/A,N/A,N/A,29th Sep 99  ,09th Mar 20
107,/games/boxart/full_9091737AmericaFrontccc.png,https://www.vgchartz.com/game/229513/call-of-duty-black-ops-ii/?region=All,Call of Duty: Black Ops II    ,All,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,31.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 12  ,15th Aug 21
108,/games/boxart/full_9580557AmericaFrontccc.jpg,https://www.vgchartz.com/game/226090/tom-clancys-splinter-cell/?region=All,Tom Clancy's Splinter Cell    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,31.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 02  ,08th Feb 20
109,/games/boxart/full_3324860AmericaFrontccc.jpg,https://www.vgchartz.com/game/226315/mario-amp-sonic-at-the-olympic-games/?region=All,Mario & Sonic at the Olympic Games    ,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,30.90m,N/A,N/A,N/A,N/A,N/A,06th Nov 07  ,11th Mar 20
110,/games/boxart/full_6456368AmericaFrontccc.jpg,https://www.vgchartz.com/game/226319/age-of-empires/?region=All,Age of Empires    ,Series,Microsoft  ,Ensemble Studios  ,N/A  ,N/A  ,N/A  ,30.82m,N/A,N/A,N/A,N/A,N/A,15th Oct 97  ,12th Mar 20
111,/games/boxart/full_8836123AmericaFrontccc.jpg,https://www.vgchartz.com/game/226309/ratchet-amp-clank/?region=All,Ratchet & Clank    ,Series,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,30.81m,N/A,N/A,N/A,N/A,N/A,04th Nov 02  ,10th Mar 20
112,/games/boxart/full_2916260AmericaFrontccc.jpg,https://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All,New Super Mario Bros.    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,8.1  ,30.80m,N/A,N/A,N/A,N/A,N/A,15th May 06  ,N/A
113,/games/boxart/full_1410872AmericaFrontccc.jpg,https://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All,New Super Mario Bros. Wii    Read the review,Wii,Nintendo  ,Nintendo EAD  ,9.1  ,8.6  ,9.2  ,30.32m,N/A,N/A,N/A,N/A,N/A,15th Nov 09  ,N/A
114,/games/boxart/full_3301411AmericaFrontccc.png,https://www.vgchartz.com/game/227496/call-of-duty-black-ops/?region=All,Call of Duty: Black Ops    ,All,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 10  ,14th Oct 20
115,/games/boxart/full_2775420AmericaFrontccc.jpg,https://www.vgchartz.com/game/227883/call-of-duty-modern-warfare/?region=All,Call of Duty: Modern Warfare    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 19  ,29th Nov 20
116,/games/boxart/full_2843828AmericaFrontccc.png,https://www.vgchartz.com/game/229514/call-of-duty-modern-warfare-3/?region=All,Call of Duty: Modern Warfare 3    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,08th Nov 11  ,15th Aug 21
117,/games/boxart/full_5898823AmericaFrontccc.jpg,https://www.vgchartz.com/game/226217/command-amp-conquer/?region=All,Command & Conquer    ,Series,Electronic Arts  ,Westwood Studios  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 95  ,23rd Feb 20
118,/games/boxart/full_6662824AmericaFrontccc.png,https://www.vgchartz.com/game/226043/devil-may-cry/?region=All,Devil May Cry    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,16th Oct 01  ,03rd Feb 20
119,/games/boxart/full_978121AmericaFrontccc.png,https://www.vgchartz.com/game/227682/diablo-iii/?region=All,Diablo III    ,All,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,15th May 15  ,29th Oct 20
120,/games/boxart/full_8781914AmericaFrontccc.jpg,https://www.vgchartz.com/game/230298/dying-light/?region=All,Dying Light    ,Series,Techland  ,Techland  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,27th Jan 15  ,22nd Apr 22
121,/games/boxart/full_1105403AmericaFrontccc.jpg,https://www.vgchartz.com/game/226297/james-bond/?region=All,James Bond    ,Series,Parker Bros.  ,Richard Shepherd Software  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 83  ,08th Mar 20
122,/games/boxart/full_3757250AmericaFrontccc.jpg,https://www.vgchartz.com/game/226288/spyro/?region=All,Spyro    ,Series,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 98  ,06th Mar 20
123,/games/boxart/full_8149048AmericaFrontccc.jpg,https://www.vgchartz.com/game/226072/tales-of/?region=All,Tales of    ,Series,Namco  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,29.99m,N/A,N/A,N/A,N/A,N/A,30th Sep 98  ,06th Feb 20
124,/games/boxart/full_857142AmericaFrontccc.png,https://www.vgchartz.com/game/226192/wii-play/?region=All,Wii Play    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,29.66m,N/A,N/A,N/A,N/A,N/A,12th Feb 07  ,20th Feb 20
125,/games/boxart/full_7347977AmericaFrontccc.jpg,https://www.vgchartz.com/game/226150/splatoon/?region=All,Splatoon    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,29.22m,N/A,N/A,N/A,N/A,N/A,29th May 15  ,16th Feb 20
126,/games/boxart/full_905745AmericaFrontccc.jpg,https://www.vgchartz.com/game/226186/nintendogs/?region=All,Nintendogs    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,28.65m,N/A,N/A,N/A,N/A,N/A,22nd Aug 05  ,20th Feb 20
127,/games/boxart/full_6570468AmericaFrontccc.jpg,https://www.vgchartz.com/game/6246/duck-hunt/?region=All,Duck Hunt    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,28.31m,N/A,N/A,N/A,N/A,N/A,15th Oct 85  ,N/A
128,/games/boxart/full_6165969AmericaFrontccc.jpg,https://www.vgchartz.com/game/2666/wii-play/?region=All,Wii Play    Read the review,Wii,Nintendo  ,Nintendo EAD  ,5.3  ,5.9  ,4.5  ,28.02m,N/A,N/A,N/A,N/A,N/A,12th Feb 07  ,N/A
129,/games/boxart/full_3483705AmericaFrontccc.jpg,https://www.vgchartz.com/game/226279/farming-simulator/?region=All,Farming Simulator    ,Series,Astragon  ,Giants Software  ,N/A  ,N/A  ,N/A  ,28.00m,N/A,N/A,N/A,N/A,N/A,14th Apr 08  ,03rd Mar 20
130,/games/boxart/full_1925973AmericaFrontccc.jpg,https://www.vgchartz.com/game/226198/yoshi/?region=All,Yoshi    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,27.66m,N/A,N/A,N/A,N/A,N/A,01st Jun 92  ,21st Feb 20
131,/games/boxart/full_8875022AmericaFrontccc.jpg,https://www.vgchartz.com/game/227491/grand-theft-auto-san-andreas/?region=All,Grand Theft Auto: San Andreas    ,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,27.50m,N/A,N/A,N/A,N/A,N/A,26th Oct 04  ,13th Oct 20
132,/games/boxart/full_6143069AmericaFrontccc.jpg,https://www.vgchartz.com/game/226177/portal/?region=All,Portal    ,Series,Valve  ,Valve  ,N/A  ,N/A  ,N/A  ,27.03m,N/A,N/A,N/A,N/A,N/A,10th Oct 07  ,19th Feb 20
133,/games/boxart/full_6210207AmericaFrontccc.png,https://www.vgchartz.com/game/227651/borderlands-2/?region=All,Borderlands 2    ,All,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,27.00m,N/A,N/A,N/A,N/A,N/A,18th Sep 12  ,27th Oct 20
134,/games/boxart/full_1659701AmericaFrontccc.jpg,https://www.vgchartz.com/game/152831/super-mario-odyssey/?region=All,Super Mario Odyssey    Read the review,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,N/A  ,26.95m,N/A,N/A,N/A,N/A,N/A,27th Oct 17  ,19th Nov 18
135,/games/boxart/full_6316214AmericaFrontccc.jpg,https://www.vgchartz.com/game/227510/fifa-18/?region=All,FIFA 18    ,All,Electronic Arts  ,EA Vancouver  ,N/A  ,N/A  ,N/A  ,26.40m,N/A,N/A,N/A,N/A,N/A,26th Sep 17  ,15th Oct 20
136,/games/boxart/full_4549099AmericaFrontccc.png,https://www.vgchartz.com/game/223748/pokemon-sword-shield/?region=All,Pokémon Sword / Shield    Read the review,NS,Nintendo  ,Game Freak  ,7.0  ,N/A  ,N/A  ,26.02m,N/A,N/A,N/A,N/A,N/A,15th Nov 19  ,21st Nov 19
137,/games/boxart/full_5573500AmericaFrontccc.png,https://www.vgchartz.com/game/226099/rayman/?region=All,Rayman    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,26.00m,N/A,N/A,N/A,N/A,N/A,19th Sep 95  ,10th Feb 20
138,/games/boxart/full_6073563AmericaFrontccc.jpg,https://www.vgchartz.com/game/227936/cyberpunk-2077/?region=All,Cyberpunk 2077    ,All,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 20  ,02nd Oct 22
139,/games/boxart/full_2133565AmericaFrontccc.jpg,https://www.vgchartz.com/game/227690/fallout-4/?region=All,Fallout 4    ,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 15  ,30th Oct 20
140,/games/boxart/full_7939841AmericaFrontccc.jpg,https://www.vgchartz.com/game/227490/grand-theft-auto-iv/?region=All,Grand Theft Auto IV    ,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,02nd Dec 08  ,13th Oct 20
141,/games/boxart/full_1508029AmericaFrontccc.jpg,https://www.vgchartz.com/game/228237/human-fall-flat/?region=All,Human: Fall Flat    ,All,Curve Digital  ,No Brakes Games  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,22nd Jul 16  ,11th Feb 21
142,/games/boxart/full_7179968AmericaFrontccc.jpg,https://www.vgchartz.com/game/226232/jikkyo-powerful-pro-yakyu/?region=All,Jikkyo Powerful Pro Yakyu    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,11th Mar 94  ,26th Feb 20
143,/games/boxart/full_9786892AmericaFrontccc.png,https://www.vgchartz.com/game/226082/puyo-puyo/?region=All,Puyo Puyo    ,Series,Sega  ,Compile  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,11th Feb 02  ,07th Feb 20
144,/games/boxart/full_2419769AmericaFrontccc.jpg,https://www.vgchartz.com/game/226221/tiger-woods-pga-tour/?region=All,Tiger Woods PGA Tour    ,Series,EA Sports  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,31st Aug 98  ,24th Feb 20
145,/games/boxart/full_1400473AmericaFrontccc.jpg,https://www.vgchartz.com/game/226320/batman-arkham/?region=All,Batman: Arkham    ,Series,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,N/A  ,N/A  ,N/A  ,24.81m,N/A,N/A,N/A,N/A,N/A,25th Aug 09  ,12th Mar 20
146,/games/boxart/full_666986AmericaFrontccc.jpg,https://www.vgchartz.com/game/227544/naruto-ultimate-ninja-storm/?region=All,Naruto: Ultimate Ninja Storm    ,Series,Namco Bandai Games  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,24.38m,N/A,N/A,N/A,N/A,N/A,04th Nov 08  ,17th Oct 20
147,/games/boxart/full_kinect-adventures_386AmericaFront.jpg,https://www.vgchartz.com/game/45608/kinect-adventures/?region=All,Kinect Adventures!    Read the review,X360,Microsoft Game Studios  ,Good Science Studio  ,6.2  ,6.7  ,N/A  ,24.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 10  ,29th Sep 18
148,/games/boxart/full_4637181AmericaFrontccc.jpg,https://www.vgchartz.com/game/226094/petz/?region=All,Petz    ,Series,PF.Magic  ,PF Magic  ,N/A  ,N/A  ,N/A  ,24.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,10th Feb 20
149,/games/boxart/full_4870931AmericaFrontccc.jpg,https://www.vgchartz.com/game/1657/nintendogs/?region=All,Nintendogs    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,23.96m,N/A,N/A,N/A,N/A,N/A,23rd Aug 05  ,N/A
150,/games/boxart/full_3825041AmericaFrontccc.jpg,https://www.vgchartz.com/game/226266/yakuza/?region=All,Yakuza    ,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,23.92m,N/A,N/A,N/A,N/A,N/A,05th Sep 06  ,02nd Mar 20
151,/games/boxart/full_9551652AmericaFrontccc.jpg,https://www.vgchartz.com/game/1254/mario-kart-ds/?region=All,Mario Kart DS    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,9.4  ,23.60m,N/A,N/A,N/A,N/A,N/A,14th Nov 05  ,N/A
152,/games/boxart/full_1190583AmericaFrontccc.jpg,https://www.vgchartz.com/game/230402/pokemon-scarlet-violet/?region=All,Pokémon Scarlet / Violet    Read the review,NS,Nintendo  ,Game Freak  ,7.0  ,N/A  ,N/A  ,23.23m,N/A,N/A,N/A,N/A,N/A,18th Nov 22  ,31st May 22
153,/games/boxart/full_588708AmericaFrontccc.jpg,https://www.vgchartz.com/game/227487/monster-hunter-world/?region=All,Monster Hunter: World    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,23.10m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,13th Oct 20
154,/games/boxart/full_1344180AmericaFrontccc.png,https://www.vgchartz.com/game/4025/pokemon-gold-silver-version/?region=All,Pokémon Gold / Silver Version    ,GB,Nintendo  ,Game Freak  ,N/A  ,9.2  ,N/A  ,23.10m,N/A,N/A,N/A,N/A,N/A,14th Oct 00  ,N/A
155,/games/boxart/full_8122622AmericaFrontccc.jpg,https://www.vgchartz.com/game/230391/god-of-war-2018/?region=All,God of War (2018)    ,All,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,N/A  ,N/A  ,N/A  ,23.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 18  ,23rd Nov 22
156,/games/boxart/full_terraria_497AmericaFront.jpg,https://www.vgchartz.com/game/51349/terraria/?region=All,Terraria    ,PC,Re-Logic  ,Re-Logic  ,N/A  ,8.8  ,N/A  ,23.00m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,19th Mar 18
157,/games/boxart/full_2943830AmericaFrontccc.png,https://www.vgchartz.com/game/227495/call-of-duty-modern-warfare-2/?region=All,Call of Duty: Modern Warfare 2    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,22.70m,N/A,N/A,N/A,N/A,N/A,10th Nov 09  ,14th Oct 20
158,/games/boxart/full_3619557AmericaFrontccc.jpg,https://www.vgchartz.com/game/7480/wii-fit/?region=All,Wii Fit    Read the review,Wii,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,N/A  ,22.67m,N/A,N/A,N/A,N/A,N/A,21st May 08  ,N/A
159,/games/boxart/full_1468470AmericaFrontccc.jpg,https://www.vgchartz.com/game/226194/luigis-mansion/?region=All,Luigi's Mansion    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,22.63m,N/A,N/A,N/A,N/A,N/A,18th Nov 01  ,20th Feb 20
160,/games/boxart/full_2048679AmericaFrontccc.jpg,https://www.vgchartz.com/game/226342/teenage-mutant-ninja-turtles/?region=All,Teenage Mutant Ninja Turtles    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,22.60m,N/A,N/A,N/A,N/A,N/A,12th May 89  ,16th Mar 20
161,/games/boxart/full_4043724AmericaFrontccc.jpg,https://www.vgchartz.com/game/231024/microsoft-flight-simulator/?region=All,Microsoft Flight Simulator    ,Series,Microsoft  ,Sublogic  ,N/A  ,N/A  ,N/A  ,22.20m,N/A,N/A,N/A,N/A,N/A,01st Nov 82  ,06th Oct 22
162,/games/boxart/full_4448873AmericaFrontccc.jpg,https://www.vgchartz.com/game/226295/spongebob-squarepants/?region=All,SpongeBob SquarePants    ,Series,THQ  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,22.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 01  ,07th Mar 20
163,/games/boxart/full_5720962AmericaFrontccc.jpg,https://www.vgchartz.com/game/228040/yu-gi-oh/?region=All,Yu-Gi-Oh!    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,21.80m,N/A,N/A,N/A,N/A,N/A,20th Mar 02  ,12th Jan 21
164,/games/boxart/full_6414177AmericaFrontccc.jpg,https://www.vgchartz.com/game/226273/castlevania/?region=All,Castlevania    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,21.63m,N/A,N/A,N/A,N/A,N/A,26th Sep 86  ,03rd Mar 20
165,/games/boxart/full_6138740AmericaFrontccc.jpg,https://www.vgchartz.com/game/226374/dynasty-warriors/?region=All,Dynasty Warriors    ,Series,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,21.28m,N/A,N/A,N/A,N/A,N/A,30th Jun 97  ,24th Mar 20
166,/games/boxart/full_2716475AmericaFrontccc.jpg,https://www.vgchartz.com/game/35077/wii-fit-plus/?region=All,Wii Fit Plus    ,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,8.0  ,N/A  ,21.13m,N/A,N/A,N/A,N/A,N/A,04th Oct 09  ,N/A
167,/games/boxart/full_8070460AmericaFrontccc.jpg,https://www.vgchartz.com/game/226093/imagine/?region=All,Imagine    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,21.00m,N/A,N/A,N/A,N/A,N/A,01st Oct 07  ,10th Feb 20
168,/games/boxart/full_5431802AmericaFrontccc.jpg,https://www.vgchartz.com/game/227558/final-fantasy-xx-2/?region=All,Final Fantasy X/X-2    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,20.80m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,19th Oct 20
169,/games/boxart/full_1091265AmericaFrontccc.jpg,https://www.vgchartz.com/game/4441/super-mario-world/?region=All,Super Mario World    ,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,20.61m,N/A,N/A,N/A,N/A,N/A,13th Aug 91  ,10th Aug 18
170,/games/boxart/full_8999556AmericaFrontccc.jpg,https://www.vgchartz.com/game/226302/the-lord-of-the-rings/?region=All,The Lord of the Rings    ,Series,Melbourne House  ,Beam Software  ,N/A  ,N/A  ,N/A  ,20.57m,N/A,N/A,N/A,N/A,N/A,01st Nov 82  ,09th Mar 20
171,/games/boxart/full_6212393AmericaFrontccc.jpg,https://www.vgchartz.com/game/230180/elden-ring/?region=All,Elden Ring    ,All,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,20.50m,N/A,N/A,N/A,N/A,N/A,25th Feb 22  ,28th Feb 22
172,/games/boxart/full_6510540AmericaFrontccc.jpg,https://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All,Grand Theft Auto V    Read the review,PS3,Rockstar Games  ,Rockstar North  ,9.5  ,9.4  ,N/A  ,N/A,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  ,N/A
173,/games/boxart/full_8004317AmericaFrontccc.jpg,https://www.vgchartz.com/game/226180/super-robot-wars/?region=All,Super Robot Wars    ,Series,Bandai  ,Banpresto  ,N/A  ,N/A  ,N/A  ,20.24m,N/A,N/A,N/A,N/A,N/A,20th Apr 91  ,19th Feb 20
174,/games/boxart/full_7756342AmericaFrontccc.jpg,https://www.vgchartz.com/game/229392/dying-light/?region=All,Dying Light    ,All,Warner Bros. Interactive Entertainment  ,Techland  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,27th Jan 15  ,22nd Jul 21
175,/games/boxart/full_6417301AmericaFrontccc.jpg,https://www.vgchartz.com/game/227511/fifa-19/?region=All,FIFA 19    ,All,EA Sports  ,EA Vancouver  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Sep 18  ,15th Oct 20
176,/games/boxart/full_6800951AmericaFrontccc.jpg,https://www.vgchartz.com/game/226231/frogger/?region=All,Frogger    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,23rd Oct 81  ,26th Feb 20
177,/games/boxart/full_6719679AmericaFrontccc.jpg,https://www.vgchartz.com/game/226296/gundam/?region=All,Gundam    ,Series,Bandai  ,Banpresto  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,02nd May 97  ,08th Mar 20
178,/games/boxart/full_1832037AmericaFrontccc.jpg,https://www.vgchartz.com/game/230153/horizon-zero-dawn/?region=All,Horizon: Zero Dawn    ,All,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,11th Feb 22
179,/games/boxart/full_58440AmericaFrontccc.jpg,https://www.vgchartz.com/game/226330/lemmings/?region=All,Lemmings    ,Series,Psygnosis  ,DMA Design  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,14th Feb 91  ,14th Mar 20
180,/games/boxart/full_7960565AmericaFrontccc.jpg,https://www.vgchartz.com/game/120133/marvels-spider-man/?region=All,Marvel's Spider-Man    Read the review,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,8.0  ,9.1  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,26th Sep 18
181,/games/boxart/full_9159934AmericaFrontccc.jpg,https://www.vgchartz.com/game/226092/prince-of-persia/?region=All,Prince of Persia    ,Series,Ubisoft  ,Broderbund  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,03rd Aug 89  ,09th Feb 20
182,/games/boxart/full_6819048AmericaFrontccc.png,https://www.vgchartz.com/game/226098/rayman-raving-rabbids/?region=All,Rayman Raving Rabbids    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,10th Feb 20
183,/games/boxart/full_5807820AmericaFrontccc.jpg,https://www.vgchartz.com/game/226160/simcity/?region=All,SimCity    ,Series,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,02nd Feb 89  ,17th Feb 20
