rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1627,/games/boxart/full_zumba-fitness_5AmericaFront.jpg,https://www.vgchartz.com/game/45639/zumba-fitness/?region=All,Zumba Fitness    ,X360,Majesco  ,Pipeworks Software, Inc.  ,N/A  ,N/A  ,N/A  ,N/A,2.39m,1.74m,0.45m,N/A,0.20m,18th Nov 10  ,N/A
1628,/games/boxart/full_mario-amp-sonic-at-the-london-2012-olympic-games_626AmericaFront.jpg,https://www.vgchartz.com/game/50943/mario-amp-sonic-at-the-london-2012-olympic-games/?region=All,Mario & Sonic at the London 2012 Olympic Games    Read the review,Wii,Sega  ,Sega  ,7.1  ,6.8  ,N/A  ,2.39m,N/A,N/A,N/A,N/A,N/A,15th Nov 11  ,N/A
1629,/games/boxart/2618476ccc.jpg,https://www.vgchartz.com/game/6350/monopoly/?region=All,Monopoly    ,PC,Hasbro Interactive  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,2.39m,1.49m,0.81m,N/A,0.10m,01st Jan 95  ,N/A
1630,/games/boxart/2862420ccc.jpg,https://www.vgchartz.com/game/6355/mortal-kombat-ii-us-amp-others-sales/?region=All,Mortal Kombat II (US & Others sales)    ,GEN,Acclaim Entertainment  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,2.39m,1.78m,0.53m,N/A,0.08m,01st Jan 94  ,N/A
1631,/games/boxart/full_dead-island_121AmericaFront.jpg,https://www.vgchartz.com/game/18476/dead-island/?region=All,Dead Island    Read the review,X360,Deep Silver  ,Techland  ,8.0  ,7.0  ,N/A  ,N/A,2.38m,1.48m,0.70m,N/A,0.21m,06th Sep 11  ,N/A
1632,/games/boxart/full_8313928AmericaFrontccc.jpg,https://www.vgchartz.com/game/6523/wcwnwo-revenge/?region=All,WCW/nWo Revenge    ,N64,THQ  ,Aki Corp.  ,N/A  ,N/A  ,N/A  ,N/A,2.38m,1.94m,0.39m,0.03m,0.02m,26th Oct 98  ,N/A
1633,/games/boxart/full_9428003AmericaFrontccc.png,https://www.vgchartz.com/game/83085/ratchet-amp-clank-2016/?region=All,Ratchet & Clank (2016)    ,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,N/A,2.38m,0.97m,0.97m,0.06m,0.39m,12th Apr 16  ,25th Apr 18
1634,/games/boxart/full_3030448AmericaFrontccc.jpg,https://www.vgchartz.com/game/7106/madden-nfl-08/?region=All,Madden NFL 08    ,X360,EA Sports  ,EA Tiburon  ,N/A  ,8.7  ,N/A  ,N/A,2.37m,2.18m,0.01m,N/A,0.18m,14th Aug 07  ,N/A
1635,/games/boxart/2974497ccc.jpg,https://www.vgchartz.com/game/5834/the-incredibles/?region=All,The Incredibles    ,PS2,THQ  ,Heavy Iron Studios  ,N/A  ,5.9  ,N/A  ,N/A,2.37m,0.96m,1.08m,0.04m,0.30m,31st Oct 04  ,N/A
1636,/games/boxart/6282462ccc.jpg,https://www.vgchartz.com/game/6515/tony-hawks-underground-2/?region=All,Tony Hawk's Underground 2    ,PS2,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,2.37m,1.25m,0.86m,0.01m,0.26m,04th Oct 04  ,N/A
